Id;Degree deviation;Degree;Neighbors;Connective redudancy
812;1.604;7;5;0.286
813;1.726;6;6;0
814;4.486;15;14;0.067
819;1.884;8;7;0.125
820;11.801;36;35;0.028
823;9.019;33;32;0.03
824;0.728;3;3;0
825;1.355;6;5;0.167
826;0.728;3;3;0
827;4.486;15;14;0.067
828;0.728;3;3;0
829;3.11;11;11;0
830;1.161;5;4;0.2
831;1.604;7;6;0.143
832;1.773;7;6;0.143
833;2.1;8;7;0.125
834;6.77;27;26;0.037
835;5.522;19;19;0
836;2.499;10;10;0
837;3.87;15;14;0.067
838;5.41;22;21;0.045
839;1.385;5;5;0
840;6.905;24;23;0.042
841;1.161;5;4;0.2
842;0.728;3;3;0
843;3.796;13;12;0.077
844;3.769;16;16;0
845;38.032;111;111;0
846;5.178;18;17;0.056
847;1.385;5;5;0
848;4.836;17;17;0
849;1.161;5;5;0
850;4.155;13;13;0
851;2.416;8;7;0.125
852;2.185;9;9;0
853;9.265;41;40;0.024
854;0.452;2;2;0
855;8.31;26;25;0.038
856;5.178;17;17;0
857;5.551;17;17;0
858;1.457;6;6;0
859;3.796;13;12;0.077
860;2.1;8;7;0.125
861;7.962;25;24;0.04
862;1.05;4;4;0
863;6.25;23;22;0.043
864;1.604;7;6;0.143
865;4.155;15;15;0
866;1.05;4;4;0
867;2.763;9;9;0
868;1.161;5;4;0.2
869;2.77;10;9;0.1
870;3.452;12;12;0
871;1.884;8;7;0.125
872;8.435;35;34;0.029
873;6.963;30;29;0.033
874;1.726;6;6;0
875;1.161;5;5;0
876;2.259;10;10;0
877;3.546;14;14;0
878;1.05;4;4;0
879;2.1;8;7;0.125
880;12.849;39;38;0.026
881;6.22;20;19;0.05
882;2.1;8;7;0.125
883;1.161;5;5;0
884;3.452;12;11;0.083
885;11.452;35;34;0.029
886;2.416;8;8;0
887;1.161;5;4;0.2
888;5.866;20;20;0
890;0.728;3;3;0
891;2.07;7;7;0
892;8.626;29;27;0.069
893;2.416;8;8;0
894;3.458;11;11;0
895;2.77;10;9;0.1
896;33.061;128;124;0.031
897;3.452;12;12;0
898;3.399;15;14;0.067
899;0.904;4;3;0.25
900;4.853;15;15;0
901;1.385;5;5;0
902;0.728;3;3;0
